ORGANIZATION,ORGANIZATION OTHER,TYPE_CLEANUP,TYPE_CLEANUP_OTHER,ADOPT-A-ROAD,TYPE_LITTER,TYPE_LITTER_OTHER 1,NUMBER_BAGS,NUMBER_BAGS_OTHER,TOTAL_BAGS_LITTER,COUNT_TIRES,COUNT_TIRES_OTHER,TOTAL_TIRES,MAJOR_WSHED,ALTBMP_TYPE,LBS_REMOVED,IMPL_COMP_YR,PERMIT_NUM,COUNCIL_DISTRICT,DPWT_MAIN_DIST,FORMEMAILED,FISCALYEAR,CREATIONDATE 1,CREATIONDATE_TIME,CREATIONDATE_AM/PM,LATITUDE,LONGITUDE,LOCATION
,,,,,Bags_garbage, cut up house deck,,,,,,,,,,,,,,,,,,,,,
,,,,,, house siding,,,,,,,,,,,,,,,,,,,,,
,,,,,, pieces of wood,,,,,,,,,,,,,,,,,,,,,
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,10,,10,,,0,Western Branch,TRSH,,2019,11-DP-3314,6,2,,FY2019,02/18/2019,05:07:00,PM,-76.7667682,38.8704651,"(-76.7667682, 38.8704651)"
,,,,,Illegal_signs,,,,,,,,,,,,,,,,,,,,,,
DOC,,RoadsideLitterPickup,,,Bags_garbage,,4,,4,,,0,Oxon Creek,TRSH,,2019,11-DP-3314,7,2,,FY2020,09/03/2019,02:28:00,PM,-76.92121147,38.86981888,"(-76.92121147, 38.86981888)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,3,,3,,,0,Potomac River U tidal,TRSH,,2017,11-DP-3314,7,2,NO,FY2018,07/03/2017,04:01:00,PM,-76.90463566,38.85120896,"(-76.90463566, 38.85120896)"
DPW&T,,IllegalDumping,,,Other, mattress,5,,5,,,0,Potomac River U tidal,TRSH,,2017,11-DP-3314,8,2,NO,FY2017,03/07/2017,06:14:00,PM,-76.99129962,38.79504986,"(-76.99129962, 38.79504986)"
,,,,,Bags_garbage, dresser,,,,,,,,,,,,,,,,,,,,,
,,,,,,tv,,,,,,,,,,,,,,,,,,,,,
,,,,,,suitcase,,,,,,,,,,,,,,,,,,,,,
,,,,,,bookcase,,,,,,,,,,,,,,,,,,,,,
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,2,,2,,,0,Western Branch,TRSH,,2019,11-DP-3314,6,2,,FY2020,07/24/2019,02:34:00,PM,-76.75807104,38.90139002,"(-76.75807104, 38.90139002)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,Other,9,9,,,0,Mattawoman Creek,TRSH,,2019,11-DP-3314,9,3,,FY2019,05/01/2019,07:12:00,PM,-76.85724538,38.69697467,"(-76.85724538, 38.69697467)"
,,,,,Car_parts,,,,,,,,,,,,,,,,,,,,,,
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Anacostia River,TRSH,,2018,11-DP-3314,5,2,,FY2019,11/13/2018,02:48:00,PM,-76.90223955,38.94114706,"(-76.90223955, 38.94114706)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,2,,2,,,0,Oxon Creek,TRSH,,2018,11-DP-3314,7,2,,FY2019,07/19/2018,04:02:00,PM,-76.98152162,38.83313122,"(-76.98152162, 38.83313122)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,1,,1,,,0,Oxon Creek,TRSH,,2018,11-DP-3314,7,2,,FY2019,09/13/2018,06:26:00,PM,-76.9346236,38.85382942,"(-76.9346236, 38.85382942)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,2,,2,,,0,Western Branch,TRSH,,2018,11-DP-3314,6,2,NO,FY2018,03/01/2018,07:23:00,PM,-76.8727948,38.9029504,"(-76.8727948, 38.9029504)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Anacostia River,TRSH,,2018,11-DP-3314,5,2,,FY2019,09/20/2018,02:20:00,PM,-76.88883296,38.91742463,"(-76.88883296, 38.91742463)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Western Branch,TRSH,,2019,11-DP-3314,6,2,,FY2020,07/29/2019,01:46:00,PM,-76.88072072,38.87785842,"(-76.88072072, 38.87785842)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Potomac River U tidal,TRSH,,2019,11-DP-3314,7,2,,FY2020,07/17/2019,03:47:00,PM,-76.90064968,38.83410855,"(-76.90064968, 38.83410855)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Potomac River U tidal,TRSH,,2019,11-DP-3314,7,2,,FY2020,08/19/2019,05:13:00,PM,-76.9109787,38.83905499,"(-76.9109787, 38.83905499)"
DOC,,RoadsideLitterPickup,,,Bags_garbage,,3,,3,,,0,Anacostia River,TRSH,,2019,11-DP-3314,5,2,,FY2020,10/03/2019,05:51:00,PM,-76.8854738,38.91493192,"(-76.8854738, 38.91493192)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,5,,5,,,0,Potomac River U tidal,TRSH,0,2019,11-DP-3314,7,2,,FY2020,07/09/2019,07:03:00,PM,-76.92808663,38.84532344,"(-76.92808663, 38.84532344)"
DPW&T,,RoadsideLitterPickup,,,Other,table,,,0,,,0,Western Branch,TRSH,,2017,11-DP-3314,4,2,NO,FY2017,05/09/2017,12:45:00,PM,-76.73462891,38.90205174,"(-76.73462891, 38.90205174)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,2,,2,,,0,Oxon Creek,TRSH,,2019,11-DP-3314,8,2,,FY2020,09/18/2019,02:23:00,PM,-77.00152323,38.81848791,"(-77.00152323, 38.81848791)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,5,,5,,,0,Piscataway Creek,TRSH,,2019,11-DP-3314,9,3,,FY2019,05/16/2019,02:36:00,PM,-76.93224912,38.68759398,"(-76.93224912, 38.68759398)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,4,,4,,,0,Potomac River U tidal,TRSH,,2019,11-DP-3314,7,2,,FY2020,07/11/2019,07:51:00,PM,-76.92714662,38.84602037,"(-76.92714662, 38.84602037)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,2,,2,,,0,Western Branch,TRSH,,2018,11-DP-3314,6,2,,FY2018,04/10/2018,02:45:00,PM,-76.85325799,38.91285817,"(-76.85325799, 38.91285817)"
DOC,,RoadsideLitterPickup,,,Bags_garbage,,1,,1,,,0,Anacostia River,TRSH,,2019,11-DP-3314,7,2,,FY2020,08/28/2019,05:12:00,PM,-76.91156575,38.89449407,"(-76.91156575, 38.89449407)"
DPW&T,,RoadsideLitterPickup,,,Other, signs,,,0,,,0,Western Branch,TRSH,,2017,11-DP-3314,5,1,NO,FY2017,01/11/2017,03:12:00,PM,-76.81284211,38.95701778,"(-76.81284211, 38.95701778)"
DPW&T,,IllegalDumping,,,Other, bedframe,,,0,,,0,Anacostia River,TRSH,,2017,11-DP-3314,2,1,NO,FY2017,04/10/2017,04:26:00,PM,-76.9731582,38.97730095,"(-76.9731582, 38.97730095)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,3,,3,,,0,Anacostia River,TRSH,,2018,11-DP-3314,5,1,,FY2019,11/12/2018,05:46:00,PM,-76.90999823,38.95336387,"(-76.90999823, 38.95336387)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,1,,1,,,0,Piscataway Creek,TRSH,,2017,11-DP-3314,9,3,NO,FY2018,07/16/2017,04:46:00,PM,-76.86008935,38.71532722,"(-76.86008935, 38.71532722)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Oxon Creek,TRSH,,2019,11-DP-3314,7,2,,FY2020,09/18/2019,12:55:00,PM,-76.91314399,38.85240439,"(-76.91314399, 38.85240439)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,10,,10,,,0,Potomac River U tidal,TRSH,,2018,11-DP-3314,8,2,,FY2018,04/24/2018,03:36:00,PM,-77.0066047,38.78064515,"(-77.0066047, 38.78064515)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Potomac River U tidal,TRSH,,2019,11-DP-3314,8,2,,FY2020,07/24/2019,02:14:00,PM,-76.99534772,38.78122056,"(-76.99534772, 38.78122056)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,3,,3,,,0,Anacostia River,TRSH,,2017,11-DP-3314,1,1,NO,FY2018,10/30/2017,03:28:00,PM,-76.92714213,39.01695233,"(-76.92714213, 39.01695233)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Potomac River U tidal,TRSH,,2019,11-DP-3314,8,2,,FY2020,09/04/2019,05:45:00,PM,-76.94647048,38.81563198,"(-76.94647048, 38.81563198)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,4,,4,,,0,Western Branch,TRSH,,2018,11-DP-3314,3,1,,FY2019,11/29/2018,06:57:00,PM,-76.85555236,38.99041862,"(-76.85555236, 38.99041862)"
,,,,,Car_parts,,,,,,,,,,,,,,,,,,,,,,
DPW&T,,BusStopTrashCan,,,Bags_garbage,,2,,2,,,0,Oxon Creek,TRSH,,2019,11-DP-3314,8,2,,FY2020,08/14/2019,04:42:00,PM,-77.00140322,38.81861084,"(-77.00140322, 38.81861084)"
DPW&T,,RoadsideLitterPickup,,,Bags_garbage,,2,,2,,,0,Oxon Creek,TRSH,,2017,11-DP-3314,7,2,NO,FY2017,05/08/2017,06:18:00,PM,-76.93346758,38.8654683,"(-76.93346758, 38.8654683)"
DPW&T,,RoadsideLitterPickup,,,Bags_garbage,,4,,4,,,0,Oxon Creek,TRSH,,2017,11-DP-3314,7,2,NO,FY2017,04/12/2017,05:22:00,PM,-76.93345091,38.86542481,"(-76.93345091, 38.86542481)"
DPW&T,,RoadsideLitterPickup,,,Bags_garbage,,1,,1,,,0,Piscataway Creek,TRSH,,2017,11-DP-3314,8,2,NO,FY2017,05/23/2017,02:02:00,PM,-76.9074598,38.8033415,"(-76.9074598, 38.8033415)"
DPW&T,,IllegalDumping,,,Furniture,,8,,8,,,0,Anacostia River,TRSH,,2019,11-DP-3314,1,1,,FY2019,02/06/2019,03:42:00,PM,-76.83254384,39.04163201,"(-76.83254384, 39.04163201)"
,,,,,Mattresses,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bags_garbage,,,,,,,,,,,,,,,,,,,,,,
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,9,,9,,,0,Western Branch,TRSH,,2018,11-DP-3314,6,2,,FY2019,09/05/2018,03:59:00,PM,-76.833477,38.8671003,"(-76.833477, 38.8671003)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,1,,1,,,0,Western Branch,TRSH,,2019,11-DP-3314,6,2,,FY2019,06/03/2019,06:48:00,PM,-76.85222323,38.88187643,"(-76.85222323, 38.88187643)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,5,,5,,,0,Anacostia River,TRSH,,2018,11-DP-3314,4,1,,FY2019,09/12/2018,07:45:00,PM,-76.89338665,39.00022078,"(-76.89338665, 39.00022078)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Potomac River U tidal,TRSH,,2019,11-DP-3314,8,2,,FY2020,09/19/2019,02:32:00,PM,-77.00489825,38.72461574,"(-77.00489825, 38.72461574)"
DPW&T,,RoadsideLitterPickup,,,Yardwaste,,,,0,,,0,Patuxent River upper,TRSH,,2018,11-DP-3314,4,2,,FY2018,05/15/2018,01:28:00,PM,-76.71681155,38.90279681,"(-76.71681155, 38.90279681)"
DPW&T,,RoadsideLitterPickup,,,Bags_garbage,,5,,5,,,0,Anacostia River,TRSH,,2017,11-DP-3314,5,2,NO,FY2017,06/27/2017,01:01:00,PM,-76.88689566,38.92684607,"(-76.88689566, 38.92684607)"
DPW&T,,IllegalDumping,,,Furniture,,,,0,,,0,Anacostia River,TRSH,,2019,11-DP-3314,1,1,,FY2019,01/08/2019,04:41:00,PM,-76.96164336,39.02675978,"(-76.96164336, 39.02675978)"
,,,,,Construction_debris,,,,,,,,,,,,,,,,,,,,,,
DPW&T,,CleanUpGreenUp,,,Other, bags of leaves,,,0,,,0,Oxon Creek,TRSH,,2016,11-DP-3314,8,2,NO,FY2017,11/02/2016,03:01:00,PM,-76.98961971,38.81779896,"(-76.98961971, 38.81779896)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Western Branch,TRSH,,2017,11-DP-3314,6,2,NO,FY2018,09/21/2017,01:10:00,PM,-76.85324428,38.90682608,"(-76.85324428, 38.90682608)"
DPW&T,,RoadsideLitterPickup,,,Bags_garbage,,3,,3,,,0,Anacostia River,TRSH,,2016,11-DP-3314,5,2,NO,FY2017,11/17/2016,06:01:00,PM,-76.90188011,38.94083898,"(-76.90188011, 38.94083898)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,3,,3,,,0,Patuxent River upper,TRSH,,2019,11-DP-3314,1,1,,FY2019,06/14/2019,02:01:00,PM,-76.87486313,39.06709246,"(-76.87486313, 39.06709246)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Oxon Creek,TRSH,,2019,11-DP-3314,8,2,,FY2020,07/30/2019,02:49:00,PM,-77.0001363,38.8190761,"(-77.0001363, 38.8190761)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Anacostia River,TRSH,,2018,11-DP-3314,5,2,,FY2019,10/30/2018,06:18:00,PM,-76.86850433,38.91828262,"(-76.86850433, 38.91828262)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Anacostia River,TRSH,,2017,11-DP-3314,5,2,NO,FY2018,08/16/2017,04:55:00,PM,-76.90131875,38.93952871,"(-76.90131875, 38.93952871)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,2,,2,,,0,Oxon Creek,TRSH,,2018,11-DP-3314,8,2,,FY2019,11/18/2018,07:44:00,PM,-76.99867546,38.81904893,"(-76.99867546, 38.81904893)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Piscataway Creek,TRSH,,2019,11-DP-3314,9,2,,FY2020,08/15/2019,02:24:00,PM,-76.92271159,38.76009356,"(-76.92271159, 38.76009356)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,2,,2,,,0,Anacostia River,TRSH,,2018,11-DP-3314,5,2,NO,FY2018,03/14/2018,08:19:00,PM,-76.8723983,38.9305593,"(-76.8723983, 38.9305593)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Piscataway Creek,TRSH,,2018,11-DP-3314,9,2,NO,FY2018,02/27/2018,07:52:00,PM,-76.89960831,38.76508283,"(-76.89960831, 38.76508283)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Potomac River U tidal,TRSH,,2019,11-DP-3314,8,2,,FY2020,08/15/2019,01:40:00,PM,-76.94009464,38.78519814,"(-76.94009464, 38.78519814)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Western Branch,TRSH,,2017,11-DP-3314,6,2,NO,FY2018,08/09/2017,12:55:00,PM,-76.85307299,38.9034776,"(-76.85307299, 38.9034776)"
DPW&T,,RoadsideLitterPickup,,,Bags_garbage,,2,,2,,,0,Anacostia River,TRSH,,2017,11-DP-3314,5,2,NO,FY2017,05/16/2017,02:45:00,PM,-76.89062977,38.9266535,"(-76.89062977, 38.9266535)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Potomac River U tidal,TRSH,,2019,11-DP-3314,8,2,,FY2020,09/27/2019,01:37:00,PM,-76.91073763,38.80042103,"(-76.91073763, 38.80042103)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,5,,5,,,0,Potomac River U tidal,TRSH,,2019,11-DP-3314,8,2,,FY2020,08/26/2019,06:30:00,PM,-76.9945574,38.7569034,"(-76.9945574, 38.7569034)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,6,,6,,,0,Anacostia River,TRSH,,2018,11-DP-3314,4,1,,FY2019,09/05/2018,06:12:00,PM,-76.8981358,39.0028799,"(-76.8981358, 39.0028799)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Potomac River U tidal,TRSH,,2019,11-DP-3314,7,2,,FY2020,09/20/2019,02:12:00,PM,-76.89473717,38.84333139,"(-76.89473717, 38.84333139)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,2,,2,,,0,Oxon Creek,TRSH,,2019,11-DP-3314,8,2,,FY2020,08/06/2019,02:05:00,PM,-77.00087876,38.82061761,"(-77.00087876, 38.82061761)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Potomac River U tidal,TRSH,,2019,11-DP-3314,8,2,,FY2020,09/19/2019,06:08:00,PM,-76.97416111,38.80451821,"(-76.97416111, 38.80451821)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Anacostia River,TRSH,,2018,11-DP-3314,5,2,NO,FY2018,02/26/2018,02:39:00,PM,-76.89063102,38.92653563,"(-76.89063102, 38.92653563)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Piscataway Creek,TRSH,,2019,11-DP-3314,9,2,,FY2020,09/12/2019,03:07:00,PM,-76.92592587,38.7727413,"(-76.92592587, 38.7727413)"
DPW&T,,RoadsideLitterPickup,,,Bags_garbage,,8,,8,,,0,Western Branch,TRSH,,2017,11-DP-3314,6,2,NO,FY2017,05/23/2017,06:32:00,PM,-76.85595985,38.86864763,"(-76.85595985, 38.86864763)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,4,,4,,,0,Anacostia River,TRSH,,2019,11-DP-3314,7,2,,FY2020,08/20/2019,06:34:00,PM,-76.9009293,38.8623201,"(-76.9009293, 38.8623201)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Piscataway Creek,TRSH,,2019,11-DP-3314,9,2,,FY2020,07/31/2019,05:46:00,PM,-76.97026253,38.75191237,"(-76.97026253, 38.75191237)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Anacostia River,TRSH,,2017,11-DP-3314,4,1,NO,FY2018,10/04/2017,02:21:00,PM,-76.86958989,38.97985573,"(-76.86958989, 38.97985573)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Potomac River U tidal,TRSH,,2019,11-DP-3314,6,2,,FY2020,08/05/2019,02:59:00,PM,-76.88717583,38.85009234,"(-76.88717583, 38.85009234)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,3,,3,,,0,Western Branch,TRSH,,2019,11-DP-3314,3,1,,FY2019,06/26/2019,02:50:00,PM,-76.85845883,38.98575836,"(-76.85845883, 38.98575836)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,8,,8,,,0,Anacostia River,TRSH,,2019,11-DP-3314,2,1,,FY2020,08/09/2019,05:01:00,PM,-76.95753734,38.96794435,"(-76.95753734, 38.96794435)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Western Branch,TRSH,,2019,11-DP-3314,6,2,,FY2020,07/31/2019,01:18:00,PM,-76.87294584,38.84669634,"(-76.87294584, 38.84669634)"
DPW&T,,RoadsideLitterPickup,,,Bags_garbage, signs,Other,38,38,,,0,Piscataway Creek,TRSH,,2017,11-DP-3314,9,3,NO,FY2017,02/27/2017,08:25:00,PM,-76.87366557,38.74816941,"(-76.87366557, 38.74816941)"
,,,,,Other,,,,,,,,,,,,,,,,,,,,,,
,,,,,Car_parts,,,,,,,,,,,,,,,,,,,,,,
DPW&T,,IllegalDumping,,,Bags_garbage,,8,,8,,,0,Western Branch,TRSH,,2019,11-DP-3314,3,1,,FY2019,03/14/2019,04:27:00,PM,-76.85452788,38.98543981,"(-76.85452788, 38.98543981)"
,,,,,Car_parts,,,,,,,,,,,,,,,,,,,,,,
,,,,,Construction_debris,,,,,,,,,,,,,,,,,,,,,,
,,,,,Furniture,,,,,,,,,,,,,,,,,,,,,,
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,10,,10,,,0,Western Branch,TRSH,,2018,11-DP-3314,6,2,NO,FY2018,02/21/2018,05:39:00,PM,-76.8665108,38.8400385,"(-76.8665108, 38.8400385)"
DOC,,Other,Bulk trash,,Car_parts,,,,0,,,0,Oxon Creek,TRSH,,2019,11-DP-3314,7,2,,FY2020,08/21/2019,02:52:00,PM,-76.92186836,38.86898748,"(-76.92186836, 38.86898748)"
DOC,,RoadsideLitterPickup,,,Bags_garbage,,2,,2,,,0,Oxon Creek,TRSH,,2019,11-DP-3314,7,2,,FY2020,08/03/2019,03:48:00,PM,-76.92620734,38.84956971,"(-76.92620734, 38.84956971)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,2,,2,,,0,Piscataway Creek,TRSH,,2018,11-DP-3314,9,2,,FY2019,09/20/2018,06:10:00,PM,-76.89402267,38.78368564,"(-76.89402267, 38.78368564)"
DPW&T,,Adopt-A-Stream,,,Bags_garbage,,1,,1,,,0,Western Branch,TRSH,,2017,11-DP-3314,6,2,NO,FY2018,11/14/2017,01:42:00,PM,-76.85199215,38.89197232,"(-76.85199215, 38.89197232)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,3,,3,,,0,Anacostia River,TRSH,,2018,11-DP-3314,3,1,NO,FY2018,02/14/2018,04:51:00,PM,-76.86624202,38.97502355,"(-76.86624202, 38.97502355)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,1,,1,,,0,Patuxent River lower,TRSH,,2017,11-DP-3314,9,3,NO,FY2018,07/14/2017,06:04:00,PM,-76.78820289,38.67293118,"(-76.78820289, 38.67293118)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,1,,1,,,0,Mattawoman Creek,TRSH,0,2018,11-DP-3314,9,3,NO,FY2018,02/22/2018,09:08:00,PM,-76.8548224,38.6976825,"(-76.8548224, 38.6976825)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Western Branch,TRSH,,2019,11-DP-3314,6,2,,FY2020,08/19/2019,12:46:00,PM,-76.86417618,38.86617076,"(-76.86417618, 38.86617076)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Western Branch,TRSH,,2018,11-DP-3314,6,2,NO,FY2018,02/01/2018,01:48:00,PM,-76.85286147,38.9024861,"(-76.85286147, 38.9024861)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,3,,3,,,0,Potomac River U tidal,TRSH,,2019,11-DP-3314,8,2,,FY2020,08/14/2019,05:38:00,PM,-77.00540702,38.71822322,"(-77.00540702, 38.71822322)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,1,,1,,,0,Patuxent River lower,TRSH,,2019,11-DP-3314,9,3,,FY2019,03/27/2019,08:39:00,PM,-76.81160228,38.69000391,"(-76.81160228, 38.69000391)"
,,,,,Yardwaste,,,,,,,,,,,,,,,,,,,,,,
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,4,,4,,,0,Anacostia River,TRSH,,2019,11-DP-3314,5,2,,FY2019,05/08/2019,11:04:00,PM,-76.89799079,38.90504583,"(-76.89799079, 38.90504583)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,3,,3,,,0,Western Branch,TRSH,,2018,11-DP-3314,6,2,,FY2018,06/13/2018,02:52:00,PM,-76.8467513,38.8979451,"(-76.8467513, 38.8979451)"
DPW&T,,Other,,,Other,tv,,,0,,,0,Piscataway Creek,TRSH,,2016,11-DP-3314,9,3,NO,FY2017,11/23/2016,07:16:00,PM,-76.9900398,38.68903194,"(-76.9900398, 38.68903194)"
DPW&T,,IllegalDumping,,,Car_parts, mattress,,,0,,,0,Anacostia River,TRSH,,2017,11-DP-3314,1,1,NO,FY2017,02/22/2017,03:06:00,PM,-76.90848547,39.0984139,"(-76.90848547, 39.0984139)"
,,,,,Other, car bumper,,,,,,,,,,,,,,,,,,,,,
,,,,,,wood,,,,,,,,,,,,,,,,,,,,,
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Anacostia River,TRSH,,2017,11-DP-3314,5,2,NO,FY2018,09/21/2017,02:45:00,PM,-76.90215159,38.94106522,"(-76.90215159, 38.94106522)"
DPW&T,,Other,,,Bags_garbage,,4,,4,,,0,Western Branch,TRSH,,2017,11-DP-3314,5,2,NO,FY2017,04/11/2017,01:54:00,PM,-76.82645871,38.95061192,"(-76.82645871, 38.95061192)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Piscataway Creek,TRSH,,2019,11-DP-3314,9,2,,FY2020,09/05/2019,05:31:00,PM,-76.92609541,38.77269036,"(-76.92609541, 38.77269036)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,2,,2,,,0,Anacostia River,TRSH,,2018,11-DP-3314,3,1,,FY2019,12/09/2018,04:03:00,PM,-76.89941206,38.95904237,"(-76.89941206, 38.95904237)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,10,,10,,,0,Anacostia River,TRSH,,2018,11-DP-3314,5,2,NO,FY2018,03/06/2018,03:07:00,PM,-76.9014594,38.9075866,"(-76.9014594, 38.9075866)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Western Branch,TRSH,,2018,11-DP-3314,6,2,NO,FY2018,03/08/2018,02:39:00,PM,-76.85315431,38.90688406,"(-76.85315431, 38.90688406)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,3,,3,,,0,Anacostia River,TRSH,,2019,11-DP-3314,1,1,,FY2020,07/02/2019,03:03:00,PM,-76.88691252,39.08243792,"(-76.88691252, 39.08243792)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,8,,8,,,0,Potomac River U tidal,TRSH,,2018,11-DP-3314,8,2,NO,FY2018,03/08/2018,05:08:00,PM,-76.96364227,38.81326597,"(-76.96364227, 38.81326597)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,2,,2,,,0,Anacostia River,TRSH,,2017,11-DP-3314,5,2,,FY2018,10/23/2017,05:47:00,PM,-76.90236409,38.94128593,"(-76.90236409, 38.94128593)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,3,,3,,,0,Potomac River U tidal,TRSH,,2018,11-DP-3314,7,2,,FY2018,05/14/2018,08:20:00,PM,-76.94164914,38.82369008,"(-76.94164914, 38.82369008)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,10,,10,,,0,Zekiah Swamp,TRSH,,2019,11-DP-3314,9,3,,FY2020,07/24/2019,04:14:00,PM,-76.79109237,38.66919734,"(-76.79109237, 38.66919734)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Potomac River U tidal,TRSH,,2019,11-DP-3314,7,2,,FY2020,08/19/2019,03:32:00,PM,-76.90024441,38.84408651,"(-76.90024441, 38.84408651)"
DPW&T,,IllegalDumping,,,Other,mattress,,,0,,,0,Piscataway Creek,TRSH,,2016,11-DP-3314,8,2,NO,FY2017,11/03/2016,01:48:00,PM,-76.90842459,38.73094392,"(-76.90842459, 38.73094392)"
,,,,,,car seat,,,,,,,,,,,,,,,,,,,,,
,,,,,, boxes trash,,,,,,,,,,,,,,,,,,,,,
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,1,,1,,,0,Anacostia River,TRSH,,2019,11-DP-3314,5,2,,FY2020,08/20/2019,03:16:00,PM,-76.87251821,38.94095492,"(-76.87251821, 38.94095492)"
